Empty Room,SITTING,RUNNING,Walking
58.5,59.0,64,68
58.5,59.25,63,69
58.25,60.0,63,71
58.25,60.25,63,69
58.25,60.25,63,69
58.25,59.25,65,67
58.25,59.25,63,68
58.75,59.25,64,68
58.25,59.5,64,68
58.5,59.25,69,73
58.5,59.5,69,73
58.75,59.5,66,66
58.75,59.25,66,66
58.5,59.0,66,70
58.75,59.0,66,70
58.5,58.5,65,71
58.25,58.0,68,71
58.25,58.25,68,70
58.5,58.5,63,72
59.0,58.25,63,72
58.75,58.5,64,70
58.75,58.5,64,70
58.75,58.25,62,68
58.25,58.25,62,70
58.25,58.75,63,70
58.5,59.0,63,71
58.5,59.0,63,71
58.25,59.25,63,69
58.25,59.0,63,69
58.75,59.25,63,69
58.75,59.25,69,69
58.5,59.25,69,69
58.5,59.5,66,69
58.75,59.25,66,70
58.75,58.75,70,70
58.5,58.5,70,70
58.75,59.0,68,69
59.0,59.0,68,70
58.75,59.0,63,70
58.5,59.0,63,68
58.75,58.5,65,68
58.75,58.75,65,80
58.5,59.5,65,80
58.25,59.0,65,80
58.5,58.5,63,74
58.75,58.5,63,71
58.5,58.5,65,66
58.75,58.75,65,64
58.75,59.0,61,71
58.5,58.75,61,71
58.5,58.25,63,72
58.25,57.75,65,72
58.25,59.0,65,68
58.25,58.5,64,68
58.25,58.5,64,65
58.5,58.0,64,65
58.5,57.75,64,69
58.5,57.75,64,69
58.5,58.5,62,70
58.75,59.25,62,70
59.25,59.75,62,67
58.75,60.0,62,67
58.25,59.25,67,71
58.5,59.25,67,71
58.5,59.75,66,70
58.5,59.75,66,70
58.5,59.75,62,75
58.5,59.5,62,75
58.0,59.0,67,68
58.0,59.0,67,68
58.75,58.75,66,66
58.5,58.75,63,69
58.75,59.25,63,67
58.75,59.5,62,67
58.25,58.5,62,74
58.25,58.75,63,74
58.75,59.0,63,68
58.75,58.75,61,68
58.5,59.25,61,70
58.5,59.0,64,70
58.75,58.75,64,65
58.75,58.25,63,65
58.75,57.75,63,69
58.75,58.25,73,69
58.5,58.5,73,69
58.5,58.25,69,71
58.5,58.25,69,69
59.0,58.5,70,75
58.5,58.5,70,75
58.5,59.0,63,72
58.5,59.25,63,72
58.5,59.5,64,72
58.25,59.0,64,72
58.25,58.75,63,69
58.5,59.25,63,72
58.5,59.0,69,72
58.25,59.75,69,67
58.5,59.75,69,66
58.75,58.75,69,66
58.75,58.25,68,68
58.75,58.25,68,68
58.5,58.5,64,71
58.75,59.0,64,71
58.75,59.5,62,68
58.5,59.25,60,68
58.5,59.25,64,69
58.75,59.5,64,69
58.75,59.5,65,71
59.0,59.0,65,71
58.75,59.25,62,68
58.75,59.5,62,75
58.75,59.25,63,75
58.75,59.5,63,75
58.5,59.25,69,68
58.75,59.25,69,68
59.0,59.25,66,69
59.0,59.5,63,69
58.5,60.25,65,72
58.5,59.5,65,72
58.25,59.25,65,68
58.25,60.0,63,68
58.5,59.75,64,72
58.5,60.0,64,72
58.5,60.25,65,69
58.5,59.5,65,69
59.0,60.0,65,71
59.0,60.0,66,71
58.5,59.75,66,71
58.5,60.5,62,76
59.25,61.0,62,76
59.25,59.75,63,72
58.5,60.5,63,72
58.5,61.25,64,76
58.5,59.75,64,76
58.5,59.75,64,70
58.5,59.0,64,70
58.5,58.5,66,68
58.5,58.5,66,68
58.5,59.75,63,69
58.25,59.75,66,69
58.25,59.25,68,68
58.5,59.0,66,68
58.5,58.5,68,74
58.5,57.75,68,74
58.75,57.5,64,69
58.75,58.75,64,69
58.5,59.0,62,67
58.5,59.0,62,67
58.75,59.25,67,69
58.5,59.0,67,69
59.0,58.75,69,76
58.5,59.0,69,76
58.25,59.0,66,80
58.5,60.0,66,80
58.75,60.25,63,70
58.75,59.0,63,70
58.5,60.0,63,68
58.25,59.75,63,68
58.25,59.5,66,66
58.5,57.75,66,68
58.75,58.25,64,65
58.75,59.25,64,66
58.5,59.25,64,69
58.5,58.5,63,69
59.0,58.75,64,70
59.25,58.75,64,70
58.75,58.25,65,67
58.5,58.75,65,67
58.75,59.25,65,67
58.75,59.0,65,74
58.25,58.25,65,74
58.25,59.0,65,67
58.75,59.5,65,67
58.75,59.25,64,73
58.5,59.5,64,73
58.5,58.75,63,68
58.75,58.25,64,68
58.75,58.25,64,69
58.5,58.5,63,69
58.5,58.5,66,68
58.0,58.75,66,68
58.0,58.75,63,70
58.25,58.5,64,70
58.25,58.5,64,74
58.75,58.25,64,74
58.75,58.25,64,69
58.25,58.0,62,69
58.25,58.25,62,65
58.5,58.5,62,69
58.5,58.5,62,69
58.75,58.25,71,69
58.75,58.0,71,69
58.75,58.25,62,69
58.5,58.25,62,69
58.25,58.75,63,69
58.5,58.75,63,67
58.5,58.0,67,67
58.25,58.25,67,70
58.5,58.75,65,70
58.75,58.75,65,70
59.0,58.75,64,70
58.75,58.75,64,69
58.5,58.25,63,69
58.75,58.25,63,73
58.75,58.0,65,73
58.75,58.0,65,73
58.75,58.5,62,73
58.5,58.5,62,67
58.25,58.25,71,67
58.25,57.0,71,67
58.25,58.0,72,68
58.5,57.75,72,68
58.75,57.0,64,67
58.75,57.0,64,67
58.5,57.75,64,70
58.25,57.75,62,70
58.25,57.5,64,67
58.75,57.5,64,72
